nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000409	Brendan Fraser	1968	null	actor,producer,soundtrack	tt0209163,tt0375679,tt13833688,tt0120616
nm0000410	Stephen Fry	1957	null	actor,writer,producer	tt0434409,tt0371724,tt0120514,tt0280707
nm0000411	Edward Furlong	1977	null	actor,producer,soundtrack	tt0120586,tt0103064,tt0165710,tt0990407
nm0000412	Andy Garcia	1956	null	actor,producer,soundtrack	tt0240772,tt0099674,tt0349903,tt0343996
nm0000413	Janeane Garofalo	1964	null	actress,writer,producer	tt0243655,tt0382932,tt0132347,tt0117979
nm0000414	Teri Garr	1947	null	actress,soundtrack	tt0075860,tt0072431,tt0084805,tt0085970
nm0000415	Jami Gertz	1965	null	actress,producer,executive	tt0088128,tt0093437,tt0117998,tt0320970
nm0000416	Terry Gilliam	1940	null	writer,actor,animation_department	tt0085959,tt0081633,tt0071853,tt0088846
nm0000417	Crispin Glover	1964	null	actor,soundtrack,producer	tt0091860,tt0118141,tt1898069,tt0310357
nm0000418	Danny Glover	1946	null	actor,producer,director	tt0104714,tt0122151,tt1190080,tt0093409
nm0000419	Jean-Luc Godard	1930	2022	director,writer,editor	tt0059592,tt0056663,tt0057869,tt0058898
nm0000420	Valeria Golino	1965	null	actress,producer,soundtrack	tt0095953,tt0107144,tt8613070,tt0102059
nm0000421	Cuba Gooding Jr.	1968	null	actor,producer,soundtrack	tt0114069,tt0316465,tt0203019,tt0116695
nm0000422	John Goodman	1952	null	actor,soundtrack,producer	tt0101410,tt1179933,tt1024648,tt1907668
nm0000423	Serena Grandi	1958	null	actress	tt0104123,tt0089271,tt0089598,tt2358891
nm0000424	Hugh Grant	1960	null	actor,soundtrack	tt0314331,tt0276751,tt0109831,tt0125439
nm0000425	Peter Greenaway	1942	null	director,writer,editor	tt0092929,tt0097108,tt0446750,tt1702429
nm0000426	Jennifer Grey	1960	null	actress,soundtrack	tt0087985,tt0092890,tt0091042,tt2013293
nm0000427	Pam Grier	1949	null	actress,soundtrack,writer	tt0119396,tt0228333,tt0069897,tt0071517
nm0000428	D.W. Griffith	1875	1948	director,writer,producer	tt0010484,tt0004972,tt0006864,tt0009968
nm0000429	Melanie Griffith	1957	null	actress,producer	tt0086984,tt0091983,tt0096463,tt0117107
nm0000430	Steve Guttenberg	1958	null	actor,producer,soundtrack	tt0089822,tt0091949,tt0087928,tt0094137
nm0000431	Taylor Hackford	1944	null	producer,director,writer	tt0106469,tt0109642,tt0350258,tt0084434
nm0000432	Gene Hackman	1930	null	actor,soundtrack,producer	tt0067116,tt0069113,tt0265666,tt0105695
nm0000433	Corey Haim	1971	2010	actor,producer,soundtrack	tt0095519,tt0090021,tt0091445,tt0093437
nm0000434	Mark Hamill	null	null	actor,soundtrack,producer	tt0086190,tt0076759,tt0080684,tt2527336
nm0000435	Daryl Hannah	1960	null	actress,producer,director	tt0378194,tt0094291,tt0088161,tt0083658
nm0000436	Curtis Hanson	1945	2016	director,producer,writer	tt0104389,tt0119488,tt0185014,tt0388125
nm0000437	Woody Harrelson	1961	null	actor,producer,soundtrack	tt2356777,tt0117318,tt1156398,tt0110632
nm0000438	Ed Harris	1950	null	actor,producer,director	tt0183659,tt0112384,tt0800308,tt0120382
nm0000439	Neil Patrick Harris	1973	null	actor,producer,soundtrack	tt4834206,tt0120201,tt0460649,tt2267998
nm0000440	Nina Hartley	1959	null	actress,director,producer	tt0118749,tt0167019,tt0189990,tt1282224
nm0000441	Noah Hathaway	1971	null	actor,miscellaneous	tt0076984,tt0092115,tt0077215,tt0088323
nm0000442	Rutger Hauer	1944	2019	actor,producer,director	tt0401792,tt0083658,tt0091209,tt1640459
nm0000443	Goldie Hawn	1945	null	actress,soundtrack,producer	tt0093693,tt0081375,tt0116313,tt0104070
nm0000444	Glenne Headly	1955	2017	actress	tt2229499,tt0113862,tt0099422,tt0095031
nm0000445	Dan Hedaya	1940	null	actor,soundtrack	tt0114814,tt0112697,tt0086979,tt0166924
nm0000446	Mariel Hemingway	1961	null	actress,producer,soundtrack	tt0079522,tt0088960,tt0094074,tt0159730
nm0000447	Marilu Henner	1952	null	actress,miscellaneous,producer	tt0077089,tt0087507,tt0102250,tt0105017
nm0000448	Lance Henriksen	1940	null	actor,producer,miscellaneous	tt0107076,tt0090605,tt0370263,tt0114214
nm0000449	Natasha Henstridge	1974	null	actress,producer,soundtrack	tt0190138,tt0228333,tt0120841,tt0114508
nm0000450	Philip Seymour Hoffman	1967	2014	actor,producer,soundtrack	tt1560747,tt0292963,tt0181875,tt0379725
nm0000451	Gaby Hoffmann	1982	null	actress,soundtrack,director	tt0114011,tt0116242,tt0098554,tt0097351
nm0000452	Lauren Holly	1963	null	actress,producer	tt0106770,tt0103512,tt0109686,tt0207201
nm0000453	Ian Holm	1931	2020	actor,soundtrack,animation_department	tt0088846,tt0167260,tt0382932,tt0120737
nm0000454	Dennis Hopper	1936	2010	actor,director,writer	tt0114898,tt0064276,tt0090756,tt0111257
nm0000455	John Hughes	1950	2009	writer,producer,director	tt0093748,tt0088847,tt0098554,tt0091042
nm0000456	Holly Hunter	1958	null	actress,producer,soundtrack	tt0092699,tt0328538,tt0107822,tt3606756
nm0000457	John Hurt	1940	2017	actor,soundtrack	tt1340800,tt0078748,tt0080678,tt0087803
nm0000458	William Hurt	1950	2022	actor,producer	tt0092699,tt0399146,tt0080360,tt0120738
nm0000459	Timothy Hutton	1960	null	actor,producer,director	tt0343737,tt0115639,tt0081283,tt1103987
nm0000460	Jeremy Irons	1948	null	actor,soundtrack,producer	tt2975590,tt0094964,tt2094766,tt0110357
nm0000461	Michael Ironside	1950	null	actor,producer,writer	tt0081455,tt0092099,tt0100802,tt0120201
nm0000462	Kate Jackson	1948	null	actress,producer,director	tt0073972,tt0085088,tt0084293,tt0059978
nm0000463	Famke Janssen	1964	null	actress,writer,director	tt0376994,tt0120903,tt0113189,tt0185371
nm0000464	Jim Jarmusch	1953	null	director,writer,actor	tt5247022,tt0412019,tt1714915,tt0088184
nm0000465	Ron Jeremy	1953	null	actor,director,writer	tt0165710,tt0124819,tt0144117,tt0120577
nm0000466	Jean-Pierre Jeunet	1953	null	director,writer,producer	tt0211915,tt0101700,tt1149361,tt0344510
nm0000467	Don Johnson	1949	null	actor,producer,soundtrack	tt1853728,tt0072730,tt0086759,tt8946378
nm0000468	Lynn-Holly Johnson	1958	null	actress,director	tt0081738,tt0088395,tt0082398,tt0077716
nm0000469	James Earl Jones	1931	null	actor,soundtrack	tt3748528,tt0086190,tt0099810,tt6105098
nm0000470	Jeffrey Jones	1946	null	actor,soundtrack,miscellaneous	tt0091225,tt0091042,tt0086879,tt0109707
nm0000471	Raul Julia	1940	1994	actor,soundtrack	tt0089424,tt0111301,tt0101272,tt0106220
nm0000472	Boris Karloff	1887	1969	actor,soundtrack	tt0024894,tt0026138,tt0023245,tt0023194
nm0000473	Diane Keaton	1946	null	actress,producer,director	tt0075686,tt0337741,tt0082979,tt0073312
nm0000474	Michael Keaton	1951	null	actor,miscellaneous,producer	tt0096895,tt2562232,tt1895587,tt4276820
nm0000475	Patsy Kensit	1968	null	actress,soundtrack,composer	tt0068069,tt0097733,tt0090585,tt0079268
nm0000476	Sally Kirkland	1941	null	actress,producer,miscellaneous	tt0070903,tt3216866,tt0102138,tt0092569
nm0000477	Mia Kirshner	1975	null	actress	tt3520702,tt0330251,tt0387877
nm0000478	Tawny Kitaen	1961	2021	actress,producer	tt2797190,tt0090327,tt0087903,tt0086927
nm0000479	Walter Koenig	1936	null	actor,writer,producer	tt0084726,tt0060028,tt0092007,tt0102975
nm0000480	Elias Koteas	1961	null	actor,producer	tt0822854,tt0114194,tt0100758,tt0120863
nm0000481	Alice Krige	1954	null	actress,producer,writer	tt9086228,tt0105428,tt0117731,tt1981115
nm0000482	Sylvia Kristel	1952	2012	actress,soundtrack,director	tt0071464,tt0077497,tt0078740,tt0081249
nm0000483	Christopher Lambert	1957	null	actor,producer,writer	tt0091203,tt0113855,tt0120604,tt0106950
nm0000484	John Landis	1950	null	producer,director,actor	tt0086491,tt0118747,tt0067716,tt0080455
nm0000485	Fritz Lang	1890	1976	writer,director,producer	tt0057345,tt0022100,tt0019415,tt0017136
nm0000486	Heather Langenkamp	1964	null	actress,special_effects,make_up_department	tt0087800,tt0111686,tt13444912,tt0094490
nm0000487	Ang Lee	1954	null	director,producer,writer	tt0190332,tt0454876,tt0107156,tt0808357
nm0000488	Brandon Lee	1965	1993	actor,miscellaneous	tt0109506,tt0105219,tt0099978,tt0102915
